"Qty";"Value";"Device";"Package";"Parts";"Description";"DIGIKEY_PART"
"1";;"BLM18RK102SN1D";"_0603MP";"FB1";"Ferrite Bead";"490-5228-1-ND"
"1";"0.1uF";"C1005X7R1A104K050BB";"_0402MP";"C1";"Ceramic Capacitors";"445-4958-1-ND"
"1";"0.1uF";"CA064C104K4RACTU";"CAPACITOR_ARRAY_1206_MONO_1X4";"C_ARR1";;"399-8243-1-ND"
"1";"0.47uF";"C1005X5R1C474K050BC";"_0402MP";"C7";"Ceramic Capacitors";"445-4976-1-ND"
"1";"10K";"CRCW040210K0JNEDHP";"_0402MP";"R2";"Resistors";"541-10KYACT-ND"
"1";"DNP";"1X14_ROUND";"1X14_ROUND";"U$6";;
"1";"DNP";"1X3_ROUND";"1X3_ROUND";"U$7";;
"1";"DNP";"1X5_ROUND";"1X5_ROUND";"U$9";;
"1";"DNP";"1X6_ROUND";"1X6_ROUND";"U$12";;
"2";"2.2uF";"C1005X5R1C225K050BC";"_0402MP";"C5, C6";"Ceramic Capacitors";"445-9085-1-ND"
"1";"26MHz";"TSX-3225 26.0000MF09Z-AC3";"TSX-3225";"EPSON_TSX1";;"SER3627CT-ND"
"3";"330";"CRCW0402330RJNED";"_0402MP";"R1, R3, R4";"Resistors";"541-330JCT-ND"
"1";"4.7uF";"C1005X5R1A475K050BC";"_0402MP";"C2";"Ceramic Capacitors";"445-13820-1-ND"
"2";"9pF";"C1005C0G1H090C050BA";"_0402MP";"C3, C4";"Ceramic Capacitors";"445-4894-1-ND"
"1";"ATSAMD21E18A-AU";"ATSAMD21E18A-AU";"32-TQFP";"IC1";;"ATSAMD21E18A-AU-ND"
"1";"BLUE";"598-8091-107F";"CHIPLED_0603_NOOUTLINE";"LED2";"Blue LED";"350-2037-1-ND"
"1";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"MCP1700T-3302E/TT";"LDO_VREG";;"MCP1700T3302ETTCT-ND"
"1";"DNP";"SPST_SMD";"SPST_SMD";"BTN";;
"1";"YELLOW";"598-8040-107F";"CHIPLED_0603_NOOUTLINE";"LED1";"Yellow LED";"350-2032-1-ND"
"1";"USB_MICROB";"ZX62-B-5PA(11)";"USB_MICROB_PACKAGE";"MICRO_B_USB";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";"H11634CT-ND"
"1";"10uH";"LQM18FN100M00D";"_0603MP";"L1";;"490-4025-1-ND"
"2";"10uF";"CL05A106MP5NUNC";"_0402MP";"C8, C9";;"1276-1450-1-ND"
