"Part";"Value";"Device";"Package";"Description";"DIGIKEY_PART";
"BTN";"OMRON B3U-300P(M)";"TACTILE_SWITCH_NO_GND_NO_BOSS";"SIDE_ACT_NO_GND_NO_BOSS";"";"";
"C1";"0.1uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C2";"4.7uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C3";"9pF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C4";"9pF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C5";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C6";"2.2uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C7";"0.47uF";"CAP_CERAMIC_0402MP";"_0402MP";"Ceramic Capacitors";"";
"C_ARR1";"0.1uF";"KEMET_CERAMIC_CAPACITOR_ARRAY_1X4";"CAPACITOR_ARRAY_1206_MONO_1X4";"";"";
"EPSON_TSX1";"32MHz";"TSX-3225";"TSX-3225";"";"TSX-3225 32.0000MF15X-B-ND";
"FB1";"";"FERRITE_0603MP";"_0603MP";"Ferrite Bead";"";
"IC1";"ATSAMD21E18A-AU";"ATSAMD21E18A-AU";"32-TQFP";"";"";
"LDO_VREG";"LM3480";"LM3480";"LM3480";"";"";
"LED1";"RED";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";
"LED2";"GREEN";"LED0603_NOOUTLINE";"CHIPLED_0603_NOOUTLINE";"LED";"";
"MICRO_B_USB";"USB_MICROB";"USB_MICROB";"USB_MICROB_PACKAGE";"This is the hirose ZX62-B-5PA(11) MICRO-USB B Type female connection.";"";
"R1";"330";"RESISTOR_0402MP";"_0402MP";"Resistors";"";
"R2";"10K";"RESISTOR_0402MP";"_0402MP";"Resistors";"";
"R3";"330";"RESISTOR_0402MP";"_0402MP";"Resistors";"";
"R4";"330";"RESISTOR_0402MP";"_0402MP";"Resistors";"";
"U$6";"1X14_ROUND";"1X14_ROUND";"1X14_ROUND";"";"";
"U$7";"1X3_ROUND";"1X3_ROUND";"1X3_ROUND";"";"";
"U$9";"1X5_ROUND";"1X5_ROUND";"1X5_ROUND";"";"";
"U$12";"1X6_ROUND";"1X6_ROUND";"1X6_ROUND";"";"";
